Source,Target,Type,Id,Label,Weight,Year,Title
2,3,Undirected,0,journals/acta/GoodmanS83,1,1983,NP-complete Problems Simplified on Tree Schemas.
7,8,Undirected,1,journals/acta/HuangL87,1,1987,The Derivation of Systolic Implementations of Programs.
9,10,Undirected,2,journals/acta/FinkelC87,1,1988,Fifo Nets Without Order Deadlock.
12,13,Undirected,3,journals/acta/BozapalidisFR12,1,2012,Equational weighted tree transformations.
12,14,Undirected,4,journals/acta/BozapalidisFR12,1,2012,Equational weighted tree transformations.
13,14,Undirected,5,journals/acta/BozapalidisFR12,1,2012,Equational weighted tree transformations.
15,16,Undirected,6,journals/acta/KhomenkoKKV06,1,2006,Merged processes: a new condensed representation of Petri net behaviour.
15,17,Undirected,7,journals/acta/KhomenkoKKV06,1,2006,Merged processes: a new condensed representation of Petri net behaviour.
15,18,Undirected,8,journals/acta/KhomenkoKKV06,1,2006,Merged processes: a new condensed representation of Petri net behaviour.
16,17,Undirected,9,journals/acta/KhomenkoKKV06,1,2006,Merged processes: a new condensed representation of Petri net behaviour.
16,18,Undirected,10,journals/acta/KhomenkoKKV06,1,2006,Merged processes: a new condensed representation of Petri net behaviour.
17,18,Undirected,11,journals/acta/KhomenkoKKV06,1,2006,Merged processes: a new condensed representation of Petri net behaviour.
21,22,Undirected,12,journals/acta/CritchlowP91,1,1991,The Expressive Power of Delay Operators in SCCS.
25,26,Undirected,13,journals/acta/CalzarossaIS86,1,1986,A Workload Model Representative of Static and Dynamic Characteristics.
25,27,Undirected,14,journals/acta/CalzarossaIS86,1,1986,A Workload Model Representative of Static and Dynamic Characteristics.
26,27,Undirected,15,journals/acta/CalzarossaIS86,1,1986,A Workload Model Representative of Static and Dynamic Characteristics.
18,29,Undirected,16,journals/acta/VoglerS014,1,2014,Trace- and failure-based semantics for responsiveness.
18,30,Undirected,17,journals/acta/VoglerS014,1,2014,Trace- and failure-based semantics for responsiveness.
29,30,Undirected,18,journals/acta/VoglerS014,1,2014,Trace- and failure-based semantics for responsiveness.
32,33,Undirected,19,journals/acta/HuT72,1,1972,Least Upper Bound on the Cost of Optimum Binary Search Trees.
37,8,Undirected,20,journals/acta/GorlatchL00,1,2000,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
40,41,Undirected,21,journals/acta/Csuhaj-VarjuM00,1,2000,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
44,45,Undirected,22,journals/acta/EhrenfeuchtR74,1,1974,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
47,48,Undirected,23,journals/acta/HanI89,1,1989,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
49,50,Undirected,24,journals/acta/AkyildizB89,1,1989,Computational Algorithms for Networks of Queues with Rejection Blocking.
51,52,Undirected,25,journals/acta/ChenM95,1,1995,Compositional Refinements in Multiple Blackboard Systems.
53,54,Undirected,26,journals/acta/GlabbeekGO15,1,2015,Special issue on "Combining Compositionality and Concurrency": part 1.
53,55,Undirected,27,journals/acta/GlabbeekGO15,1,2015,Special issue on "Combining Compositionality and Concurrency": part 1.
54,55,Undirected,28,journals/acta/GlabbeekGO15,1,2015,Special issue on "Combining Compositionality and Concurrency": part 1.
58,59,Undirected,29,journals/acta/ChungES85,1,1985,Complete Problems for Space Bounded Subclasses of NP.
58,60,Undirected,30,journals/acta/ChungES85,1,1985,Complete Problems for Space Bounded Subclasses of NP.
59,60,Undirected,31,journals/acta/ChungES85,1,1985,Complete Problems for Space Bounded Subclasses of NP.
61,62,Undirected,32,journals/acta/BulychevDLL14,1,2014,Efficient controller synthesis for a fragment of MTL
