Id,Label,Modularity Class,YearOfFirst
1701022,Kaihao Liang,0,2009
1212656,Dennis Matthews,0,2012
401959,Neyre Tekbiyik,0,2011
451289,Rosa Manrique,0,2015
1419827,William Pisano,0,2007
633354,Dragan S. Popovic,0,2011
463976,G. M. Nijssen,0,1971
1768674,Abdellah Mouhou,0,2006
306776,Ammar Ladjailia,0,2016
254691,Andrew J. Wade,0,2004
1431682,Brett Dolezal,0,2013
710774,Suhas Haribhau Patil,0,2013
1622837,Mohamed Ben Ali,0,2012
267756,Ganesan Kannabiran,0,2005
286129,K. B. McAuley,0,2006
357678,Hrushikesh Garud,0,2010
1396981,Takamasa Adachi,0,2013
414401,Thomas C. Kreutzer,0,2016
1360417,Wenyu Zhu,0,2008
556355,Krzysztof Jakub Kruszynski,0,2006
824426,Ray J. Meyers,0,1988
1411954,Aleksandar Corovic,0,2012
894839,E. Périnel,0,2000
379466,C. P. Gill,0,1999
208945,Siam U. Hussain,0,2014
768409,Robert J. Betts,0,2012
596363,Tayeb Mohammadi,0,2016
894853,Jong Wha Jung,0,1996
264565,Ajai Thirumalai,0,1987
743415,Zanxia Cao,0,2009
1249367,Joe Forsmann,0,2007
1052278,Kazuteru Egashira,0,2014
13543,Ann Borda,0,2004
112409,Frank R. Hartman,0,2001
1566963,Zwenneke H. Flach,0,2010
748334,Miguel Pessoa Monteiro,0,2010
43035,Jaime Navarro,0,2010
1451687,Hartmut Michels,0,1993
623921,Leyi Shi,0,2007
17989,Qiang Zeng 0001,0,2010
168362,Jens B. Schmitt,0,1996
1115065,Qiang Zeng 0002,0,2014
1297141,Qiang Zeng 0003,0,2002
1241975,Zahra Mahmoodzade,0,2008
1754133,J. Schuhmann,0,1998
399606,Na Gao,0,2009
472684,Li-na Zhu,0,2009
583027,Alessandro Bosco,0,2000
1120327,Teruo Fumoto,0,1992
1382832,T. Paul Etheredge,0,2009
415377,Knut Augestad,0,2014
608848,Amel Nejjari,0,2016
713845,Nicola Soranzo,0,2007
847434,Monideepa Roy,0,2012
180274,Massimo Piccardi,0,1995
754426,Angus Dunn,0,2009
871250,Mir Nabi Pirouzi Fard,0,2008
1704384,Andrew E. Marble,0,2006
1377912,Cees A. F. Tulleken,0,2003
192335,Stephen Thomas III,0,2004
1067384,Georgios A. Sotiriou,0,2011
1116547,Qingkuan Meng,0,2015
752341,Hossam M. Farag,0,2015
68195,Chi-Wang Shu,0,1993
1052991,Mary M. Mantle,0,2008
778182,Mozhgan Pourmoradnasseri,0,2016
35363,Göran Kauermann,0,2003
727748,Slava Chetvernin,0,2009
263119,Subarna Bhattacharjee,0,1995
779413,Andrew Noyes,0,2013
1320081,Cansin Turguner,0,2014
114399,Xiangtian Nie,0,2005
1090831,Shingo Kano,0,2014
949927,Dietmar Herwig,0,1989
1658526,Fonda J. Daniels,0,1997
1445066,Masami Aga,0,2011
858568,Patrick D'Silva,0,2012
197394,Mohammad Waqar Ali Asad,0,2010
1486799,B. Krah,0,1997
662402,S. Heinrich,0,1986
362040,Alice Lesser,0,2007
657416,Bradley Shellito,0,2005
1062116,F. Andersson,0,2013
269574,Matt C. Howard,0,2013
1169954,Magdalena Broszkiewicz,0,2005
366672,Elena Veronica Belmega,0,2008
1793446,Santiago Iglesías,0,2008
1283294,Aikaterini Katmada,0,2015
448939,Mitra J. Hartmann,0,2000
1145650,Swen Weiland,0,2010
1425492,C. Chanussot,0,1990
1834840,Martin Flöck,0,2010
1360822,Jens Trautmann,0,1996
1757451,Eidah Eidah Assidan,0,2009
999689,B. A. Parvin,0,1995
854535,Kentaro Mori,0,1998
18074,Norifumi Nishikawa,0,1997
1309055,Ameet Chavan,0,2006
231735,Andrew K. C. Kwan,0,2005
