Id,Label,Modularity Class
1701022,Kaihao Liang,0
1212656,Dennis Matthews,0
401959,Neyre Tekbiyik,0
451289,Rosa Manrique,0
1419827,William Pisano,0
633354,Dragan S. Popovic,0
463976,G. M. Nijssen,0
1768674,Abdellah Mouhou,0
306776,Ammar Ladjailia,0
254691,Andrew J. Wade,0
1431682,Brett Dolezal,0
710774,Suhas Haribhau Patil,0
1622837,Mohamed Ben Ali,0
267756,Ganesan Kannabiran,0
286129,K. B. McAuley,0
357678,Hrushikesh Garud,0
1396981,Takamasa Adachi,0
414401,Thomas C. Kreutzer,0
1360417,Wenyu Zhu,0
556355,Krzysztof Jakub Kruszynski,0
824426,Ray J. Meyers,0
1411954,Aleksandar Corovic,0
894839,E. Périnel,0
208945,Siam U. Hussain,0
596363,Tayeb Mohammadi,0
894853,Jong Wha Jung,0
264565,Ajai Thirumalai,0
743415,Zanxia Cao,0
1249367,Joe Forsmann,0
1052278,Kazuteru Egashira,0
13543,Ann Borda,0
112409,Frank R. Hartman,0
1566963,Zwenneke H. Flach,0
748334,Miguel Pessoa Monteiro,0
43035,Jaime Navarro,0
623921,Leyi Shi,0
17989,Qiang Zeng 0001,0
168362,Jens B. Schmitt,0
1115065,Qiang Zeng 0002,0
1297141,Qiang Zeng 0003,0
1241975,Zahra Mahmoodzade,0
1754133,J. Schuhmann,0
399606,Na Gao,0
472684,Li-na Zhu,0
583027,Alessandro Bosco,0
1120327,Teruo Fumoto,0
1382832,T. Paul Etheredge,0
415377,Knut Augestad,0
608848,Amel Nejjari,0
713845,Nicola Soranzo,0
847434,Monideepa Roy,0
180274,Massimo Piccardi,0
871250,Mir Nabi Pirouzi Fard,0
1704384,Andrew E. Marble,0
1377912,Cees A. F. Tulleken,0
192335,Stephen Thomas III,0
1067384,Georgios A. Sotiriou,0
1116547,Qingkuan Meng,0
752341,Hossam M. Farag,0
68195,Chi-Wang Shu,0
1052991,Mary M. Mantle,0
35363,Göran Kauermann,0
727748,Slava Chetvernin,0
263119,Subarna Bhattacharjee,0
779413,Andrew Noyes,0
114399,Xiangtian Nie,0
1090831,Shingo Kano,0
949927,Dietmar Herwig,0
1658526,Fonda J. Daniels,0
1445066,Masami Aga,0
858568,Patrick D'Silva,0
197394,Mohammad Waqar Ali Asad,0
1486799,B. Krah,0
662402,S. Heinrich,0
362040,Alice Lesser,0
657416,Bradley Shellito,0
1062116,F. Andersson,0
269574,Matt C. Howard,0
1169954,Magdalena Broszkiewicz,0
366672,Elena Veronica Belmega,0
1793446,Santiago Iglesías,0
1283294,Aikaterini Katmada,0
448939,Mitra J. Hartmann,0
1145650,Swen Weiland,0
1425492,C. Chanussot,0
1360822,Jens Trautmann,0
1757451,Eidah Eidah Assidan,0
999689,B. A. Parvin,0
854535,Kentaro Mori,0
18074,Norifumi Nishikawa,0
1309055,Ameet Chavan,0
231735,Andrew K. C. Kwan,0
983698,Shinichi Kawaguchi,0
1178386,María del Carmen Romero,0
1432029,Paolo Garbin,0
1696489,Wesley Saunders,0
587245,Masaya Imoto,0
402613,Nando de Freitas,0
951569,Tony Ribeiro,0
